iter	RMSE
0	94.66101196
1	93.23584276
2	91.73856463
3	90.29007233
4	88.97511154
5	87.65676912
6	86.36896284
7	85.31320184
8	84.26119594
9	83.26364736
10	82.33125113
11	81.23678424
12	80.25012235
13	79.45437144
14	78.5362626
15	77.67185408
16	76.80414124
17	75.98712248
18	75.18511818
19	74.32546746
20	73.68137188
21	73.05092351
22	72.41450962
23	71.79923208
24	71.18128878
25	70.51159841
26	70.01254856
27	69.50469214
28	68.98034504
29	68.43656079
30	67.79899709
31	67.32180676
32	66.85062607
33	66.40957841
34	66.14689262
35	65.79643331
36	65.42324117
37	64.95448141
38	64.78481507
39	64.41478273
40	64.00313305
41	63.68782657
42	63.35350219
43	62.98322901
44	62.64613907
45	62.27477261
46	61.93293393
47	61.64819883
48	61.37073168
49	61.08814911
50	60.84633561
51	60.6248806
52	60.38559283
53	60.29011004
54	59.9957538
55	59.84057399
56	59.55490935
57	59.38234588
58	59.19626103
59	59.00560224
60	58.7756435
61	58.49411571
62	58.35041029
63	58.13941254
64	57.88541739
65	57.70909795
66	57.58324269
67	57.36888208
68	57.21003443
69	56.98199427
70	56.838546
71	56.6710234
72	56.52929003
73	56.36799992
74	56.18792458
75	56.03642744
76	55.88035545
77	55.70362303
78	55.56916189
79	55.41357561
80	55.24828146
81	55.14754438
82	55.01094125
83	54.86880985
84	54.75368097
85	54.68467987
86	54.5759747
87	54.46400256
88	54.37066333
89	54.25306248
90	54.06049975
91	53.91566316
92	53.79828682
93	53.69580428
94	53.51686726
95	53.35840461
96	53.25129731
97	53.13349485
98	53.04236828
99	52.90118438
100	52.83863985
101	52.79978479
102	52.63473351
103	52.55054902
104	52.42973146
105	52.32263166
106	52.22482284
107	52.07853608
108	51.92482379
109	51.82834604
110	51.75472534
111	51.71633952
112	51.65189774
113	51.49176223
114	51.34259755
115	51.1952563
116	51.10379209
117	50.98114377
118	50.89615371
119	50.83135226
120	50.73038961
121	50.6265276
122	50.55395924
123	50.47749704
124	50.38097923
125	50.2735254
126	50.18571884
127	50.08394535
128	50.00125662
129	49.989682
130	49.89714681
131	49.81624958
132	49.7610081
133	49.67300004
134	49.60826446
135	49.60816256
136	49.50326953
137	49.41733976
138	49.34633583
