iter	Passed	Remaining
0	84	2443
1	112	1574
2	136	1225
3	158	1032
4	176	883
5	204	817
6	223	732
7	241	664
8	260	608
9	277	554
10	300	518
11	318	478
12	336	440
13	358	409
14	378	378
15	397	348
16	416	318
17	434	289
18	456	264
19	481	240
20	499	214
21	516	187
22	533	162
23	552	138
24	575	115
25	604	92
26	628	69
27	648	46
28	673	23
29	693	0
