iter	RMSE
0	14.64069349
1	10.00430528
2	7.936556404
3	7.036982252
4	6.672735524
5	6.528036529
6	6.407587313
7	6.31030362
8	6.26150158
9	6.187664887
10	6.122675382
11	6.072804716
12	6.043891991
13	6.030276753
14	5.967976615
15	5.951974486
16	5.911059779
17	5.890999654
18	5.869080664
19	5.835801028
20	5.815479032
21	5.78822962
22	5.740265119
23	5.722836688
24	5.703494374
25	5.678591847
26	5.662411637
27	5.645730042
28	5.609025581
29	5.576447902
